=== Atuação Projects ===
300 Reais | Images: 1 | Role: Ator | Medium: teatro | Year: 2015
A Serpente (Montagem 2014) | Images: 1 | Role: Ator | Medium: teatro | Year: 2014
Antígona | Images: 0 | Role: Ator | Medium: teatro | Year: 2015
Cala-me os Olhos | Images: 1 | Role: Diretor | Medium: teatro | Year: 2012
Calor | Images: 0 | Role: Ator | Medium: performance | Year: 2019
Chega de Falar de Botas | Images: 3 | Role: Ator | Medium: teatro | Year: 2015
Convite | Images: 0 | Role: Ator | Medium: teatro | Year: 2017
De Louco, Todo Mundo Tem Um Pouco | Images: 3 | Role: Ator | Medium: teatro | Year: 2017
De Sucupira à Asa Branca | Images: 3 | Role: Ator | Medium: teatro | Year: 2016
São João Escola Santa Cecília | Images: 2 | Role: Diretor e Dramaturgo | Medium: teatro | Year: 2023
Exu Não Vem Hoje | Images: 15 | Role: Ator | Medium: teatro | Year: 2022
Há números que sonham | Images: 4 | Role: Ator | Medium: audiovisual | Year: 2019
Irreversível | Images: 2 | Role: Ator | Medium: teatro | Year: 2022
Mundo-Imagem | Images: 0 | Role: Ator | Medium: audiovisual | Year: 2024
Noite de Alegria da Rua Trinta e Sete | Images: 0 | Role: Ator | Medium: teatro | Year: 2015
O Caso da Casa | Images: 1 | Role: Diretor | Medium: teatro | Year: 2013
Paixao De Cristo | Images: 2 | Role: Ator | Medium: cultura_popular | Year: 2023
Práticas de Ator (Porto Iracema 116h) | Images: 0 | Role: Ator | Medium: teatro | Year: 2015
Pesquisador em Laboratório de Pesquisa - CCBJ (Exu Não Vem Hoje) | Images: 1 | Role: Pesquisador / Ator | Medium: pesquisa_artistica | Year: 2023
Rastros de Exu | Images: 5 | Role: Ator e Produtor | Medium: audiovisual | Year: 2023
Rebordose | Images: 5 | Role: Ator | Medium: audiovisual | Year: 2024
Reino de Aspan | Images: 0 | Role: Ator | Medium: teatro | Year: 2017
Rua Azusa | Images: 3 | Role: Produtor | Medium: teatro | Year: 2018
Santo Bordel de Tiatira | Images: 3 | Role: Ator | Medium: teatro | Year: 2017
Sociedade, o Circo | Images: 2 | Role: Diretor | Medium: teatro | Year: 2012
Vão | Images: 10 | Role: None | Medium: teatro | Year: 2023
